created_at,id_str,tweet
0,Mon Jan 27 06:04:33 +0000 2020,1221675339597803525,"One of the best left footed players in the league, Ritvik had many memorable performances for his team, dribbling p… https://t.co/oFREkYGUNA"
0,Mon Jan 27 06:04:33 +0000 2020,1221675339597803525,"One of the best left footed players in the league, Ritvik had many memorable performances for his team, dribbling p… https://t.co/oFREkYGUNA"
0,Mon Jan 27 06:04:36 +0000 2020,1221675354202370049,"@ANI Do u know Kapil, what is zero?"
0,Mon Jan 27 06:04:36 +0000 2020,1221675354202370049,"@ANI Do u know Kapil, what is zero?"
0,Mon Jan 27 06:06:12 +0000 2020,1221675755777605632,"Just my imagination *
*
*
#justmyimagination #thetemptations #AppleMusic #nowplaying▶ #nowplaying🎧 #nowplaying▶️… https://t.co/QAJxlIy05s"
0,Mon Jan 27 06:06:12 +0000 2020,1221675755777605632,"Just my imagination *
*
*
#justmyimagination #thetemptations #AppleMusic #nowplaying▶ #nowplaying🎧 #nowplaying▶️… https://t.co/QAJxlIy05s"
0,Mon Jan 27 06:06:21 +0000 2020,1221675795489312768,"Yes We have won again💪

#OurPrideSid"
0,Mon Jan 27 06:06:21 +0000 2020,1221675795489312768,"Yes We have won again💪

#OurPrideSid"
0,Mon Jan 27 06:06:50 +0000 2020,1221675913508618241,Some where in parallel universe @narendramodi ji protesting against @PMNehru for selling #AirIndia (pride of india)… https://t.co/Y7r70sFkqX
0,Mon Jan 27 06:06:50 +0000 2020,1221675913508618241,Some where in parallel universe @narendramodi ji protesting against @PMNehru for selling #AirIndia (pride of india)… https://t.co/Y7r70sFkqX
0,Mon Jan 27 06:06:50 +0000 2020,1221675914762670081,@ishkarnBHANDARI Only a broad coalition with White West Bible holders will save the innocents from Ghengiz Khan's h… https://t.co/H4fNmcH2Om
0,Mon Jan 27 06:06:50 +0000 2020,1221675914762670081,@ishkarnBHANDARI Only a broad coalition with White West Bible holders will save the innocents from Ghengiz Khan's h… https://t.co/H4fNmcH2Om
0,Mon Jan 27 06:07:14 +0000 2020,1221676017611198464,Always... #BornFighterSana
0,Mon Jan 27 06:07:14 +0000 2020,1221676017611198464,Always... #BornFighterSana
0,Mon Jan 27 06:07:24 +0000 2020,1221676059646664704,"HMDA Approved Open Plots In #Maheshwaram #ResidentialPlot #Land #ForSale #Hyderabad #Residential #Property
https://t.co/9hb35gZuzu"
0,Mon Jan 27 06:07:24 +0000 2020,1221676059646664704,"HMDA Approved Open Plots In #Maheshwaram #ResidentialPlot #Land #ForSale #Hyderabad #Residential #Property
https://t.co/9hb35gZuzu"
0,Mon Jan 27 06:07:38 +0000 2020,1221676114730307585,Things to do today in Bengaluru - Bangalore Mirror @bangalore  https://t.co/yixq2TQbGX
0,Mon Jan 27 06:07:38 +0000 2020,1221676114730307585,Things to do today in Bengaluru - Bangalore Mirror @bangalore  https://t.co/yixq2TQbGX
0,Mon Jan 27 06:08:04 +0000 2020,1221676224025591809,"#ShashiTharoor said, The implementation of #CAA_NRC_NPR would prove that,
#MuhammadAliJinah 'was right that… https://t.co/xiz4H75WLU"
0,Mon Jan 27 06:08:04 +0000 2020,1221676224025591809,"#ShashiTharoor said, The implementation of #CAA_NRC_NPR would prove that,
#MuhammadAliJinah 'was right that… https://t.co/xiz4H75WLU"
0,Mon Jan 27 06:08:08 +0000 2020,1221676242228789248,@Mukilan58583460 Hello
0,Mon Jan 27 06:08:08 +0000 2020,1221676242228789248,@Mukilan58583460 Hello
0,Mon Jan 27 06:08:19 +0000 2020,1221676287879720960,"#ShashiTharoor said, The implementation of #CAA_NRC_NPR would prove that,
#MuhammadAliJinah 'was right that… https://t.co/hxvClzXIqh"
0,Mon Jan 27 06:08:19 +0000 2020,1221676287879720960,"#ShashiTharoor said, The implementation of #CAA_NRC_NPR would prove that,
#MuhammadAliJinah 'was right that… https://t.co/hxvClzXIqh"
0,Mon Jan 27 06:08:19 +0000 2020,1221676290043809792,"Mission Gaganyaan will Prove to be a milestone for #NewIndia: 
PM @narendramodi |
@PMOIndia @BJP4India @mygovindia… https://t.co/E3DsrnBaRo"
0,Mon Jan 27 06:08:19 +0000 2020,1221676290043809792,"Mission Gaganyaan will Prove to be a milestone for #NewIndia: 
PM @narendramodi |
@PMOIndia @BJP4India @mygovindia… https://t.co/E3DsrnBaRo"
0,Mon Jan 27 06:08:36 +0000 2020,1221676361531588610,@geetv79 Do you dare to teach seculars not to worship in only one direction ?
0,Mon Jan 27 06:08:36 +0000 2020,1221676361531588610,@geetv79 Do you dare to teach seculars not to worship in only one direction ?
0,Mon Jan 27 06:08:39 +0000 2020,1221676371895889920,Its an ego issue now
0,Mon Jan 27 06:08:39 +0000 2020,1221676371895889920,Its an ego issue now
0,Mon Jan 27 06:08:55 +0000 2020,1221676441202380801,@AkashCh06787442 @_kritikaRao_ @BiggBoss Twitter download app se download hoga vedio
